单号,sku(无P),序号,机身号
9204613883,27538593,1,9007473
9204613883,27538593,2,9007232
9204613883,27538593,3,9002954
9204613883,27538593,4,9007457
9204613883,27538593,5,9007185
9204613883,27538593,6,9007477
9204613883,27538593,7,9007466
9204613883,27538593,8,9007465
9204613883,27538593,9,9007402
9204613883,27537196,1,9008316
9204613883,27537196,2,9008290
9204613883,27537196,3,9008408
9204613883,27537196,4,9008313
9204613883,27537196,5,9001597
9204613883,27537196,6,9008301
9204613883,27537196,7,9008269
9204613883,27537196,8,9008228
9204613883,27537196,9,9008520
9204613883,27537196,10,9008307
9204613884,27538790,1,9008300
9204613884,27538790,2,9007902
9204613884,27538790,3,9008251
9204613884,27538790,4,9007913
9204613884,27538790,5,9007882
9204613884,27538790,6,9008093
9204613884,27538790,7,9008347
9204613884,27538790,8,9008327
9204613884,27538790,9,9008229
9204613884,27538790,10,9008321
9204613894,27539197,1,9004711
9204613896,27539790,1,9023581
9204613896,27539791,1,9027750
9204613896,27539791,2,9027739
9204613897,27539197,1,9001512
9204613897,27539790,1,9024185
9204613900,27539197,1,9000577
9204613904,27547293,1,9001996
9204613904,27547191,1,9000618
9204613912,27539790,1,9023636
9204613915,27539791,1,9027749
9204613917,27547292,1,9000081
9204613917,27547190,1,9000168
9204613917,27547191,1,9000638
9204613917,27547293,1,9002020
9204614619,27538792,1,9003783
9204614629,27539197,1,9004674
9204614631,27505798,1,9010847
9204614631,27505798,2,9010591
9204614631,27505798,3,9010799
9204615193,27539792,1,9007949
9204615193,27539792,2,9007958
9204615193,27538593,1,9000355
9204615193,27538593,2,9000732
9204615193,27539791,1,9027764
9204615193,27539791,2,9027968
9204615193,27539791,3,9027747
9204615193,27539790,1,9023522
9204615193,27539790,2,9022937
9204615193,27539790,3,9023546
9204615193,27538591,1,9009020
9204615193,27538591,2,9009102
9204615193,27538591,3,9009075
9204615193,27538591,4,9008982
9204615193,27538594,1,9007794
9204615193,27538594,2,9007974
9204615193,27538594,3,9007983
9204615193,27538594,4,9007898
9204615220,27538597,1,9006911
9204615220,27538597,2,9006966
9204615220,27538597,3,9006942
9204615220,27538597,4,9006985
9204615220,27538597,5,9006821
9204615220,27538597,6,9006897
9204615220,27538597,7,9006817
9204615220,27538597,8,9006812
9204615220,27538597,9,9006940
9204615220,27538597,10,9006879
9204615220,27538593,1,9000982
9204615220,27538593,2,9000360
9204615220,27538593,3,9000009
9204615220,27538593,4,9001643
9204615220,27538593,5,9000844
9204615220,27538593,6,9000628
9204615220,27538593,7,9001063
9204615220,27538593,8,9000533
9204615220,27538593,9,9000940
9204615220,27538593,10,9000902
9204615225,27538591,1,9008995
9204615225,27538591,2,9008908
9204615225,27538591,3,9008924
9204615379,27539195,1,9007399
9204615381,27538594,1,9007986
9204615381,27538591,1,9009094
9204615382,27538594,1,9008000
9204615385,27538594,1,9007924
9204615385,27538591,1,9009633
9204615386,27539791,1,9027743
9204615386,27539197,1,9004717
9204615387,27538591,1,9008920
9204615675,27538593,1,9000824
9204615675,27538593,2,9001363
9204615675,27538593,3,9000085
9204615675,27538593,4,9001102
9204615675,27538593,5,9001573
9204615675,27538593,6,9001617
9204615675,27538593,7,9000583
9204615675,27538593,8,9001632
9204615675,27538593,9,9000814
9204615675,27538593,10,9000801
9204615675,27538593,11,9000752
9204615675,27538593,12,9000921
9204615675,27538593,13,9001407
9204615675,27538593,14,9000828
9204615675,27538593,15,9000817
9204615675,27538593,16,9001005
9204615675,27538593,17,9000688
9204615675,27538593,18,9000578
9204615675,27538593,19,9000322
9204615675,27538593,20,9000148
9204615675,27538593,21,9000957
9204615675,27538593,22,9001032
9204615675,27538593,23,9000624
9204615675,27538593,24,9000883
9204615675,27538593,25,9000211
9204615675,27538593,26,9000734
9204615675,27538593,27,9000808
9204615675,27538593,28,9000896
9204615675,27538593,29,9001275
9204615675,27538593,30,9001310
9204615675,27538591,1,9009086
9204615675,27538591,2,9009524
9204615675,27538591,3,9009512
9204615675,27538591,4,9008992
9204615675,27538591,5,9009062
9204615675,27538591,6,9008796
9204615675,27538591,7,9008989
9204615675,27538591,8,9009351
9204615675,27538591,9,9008909
9204615675,27538591,10,9009041
9204615675,27538591,11,9009034
9204615675,27538591,12,9009073
9204615675,27538591,13,9008994
9204615675,27538591,14,9008999
9204615675,27538591,15,9009068
9204615675,27538591,16,9009106
9204615675,27538591,17,9009087
9204615675,27538591,18,9009109
9204615675,27538591,19,9009065
9204615675,27538591,20,9009353
9204615675,27538591,21,9009137
9204615675,27538591,22,9009090
9204615675,27538591,23,9009067
9204615675,27538591,24,9008912
9204615675,27538597,1,9006860
9204615675,27538597,2,9006845
9204615675,27538597,3,9006836
9204615675,27538597,4,9006809
9204615675,27538597,5,9006837
9204615675,27538597,6,9006811
9204615675,27538597,7,9006835
9204615675,27538597,8,9006842
9204615675,27538597,9,9006893
9204615675,27538597,10,9006825
9204615675,27538594,1,9007956
9204615675,27538594,2,9007895
9204615675,27538594,3,9007971
9204615675,27538594,4,9007852
9204615675,27538594,5,9007951
9204615675,27538594,6,9007913
9204615675,27538594,1,9007953
9204615675,27538594,7,9007919
9204615675,27538594,8,9007861
9204615675,27538594,9,9007959
9204615675,27539195,1,9008822
9204615675,27539195,2,9006194
9204615675,27538594,10,9007901
9204615675,27538594,11,9007903
9204615675,27538594,12,9007912
9204615675,27538594,13,9008001
9204615675,27538594,14,9008338
9204615675,27538594,15,9007916
9204615675,27538594,16,9007989
9204615675,27538594,17,9007997
9204615675,27538594,18,9007981
9204615675,27538594,19,9007969
9204615675,27538594,20,9007906
9204615675,27538594,21,9007976
9204615675,27538594,22,9008194
9204615675,27538594,23,9007972
9204615675,27538594,24,9007902
9204615675,27538594,25,9007994
9204615675,27538594,26,9007942
9204615675,27538594,27,9007966
9204615675,27538594,28,9007965
9204615675,27538594,29,9007932
9204615675,27539195,3,9005339
9204615675,27539195,4,9006566
9204615675,27539195,5,9007558
9204615675,27538591,25,9009048
9204615675,27538591,26,9009042
9204615675,27538591,27,9009059
9204615675,27538591,28,9009069
9204615675,27538591,29,9009032
9204615675,27538591,30,9009092
9204615914,27538990,1,9001907
9204615915,27547292,1,9000189
9204616090,27538790,1,9008146
9204616092,27538790,1,9007881
9204616367,27539197,1,9000915
9204616367,27539197,2,9000530
9204616367,27539197,3,9000519
9204616367,27539195,1,9005436
9204616367,27539195,2,9006627
9204616367,27539195,3,9008937
9204616367,27539195,4,9009011
9204616367,27539195,5,9008749
9204616367,27539195,6,9007174
9204616391,27505797,1,9007851
9204616391,27505797,2,9007833
9204616392,27505797,1,9007891
9204616392,27505797,2,9007829
9204616393,27505797,1,9007850
9204616393,27505797,2,9007901
9204616405,27547190,1,9000228
9204616414,27547190,1,9000206
9204616432,27539792,1,9007954
9204616432,27538594,1,9007961
9204616438,27539197,1,9004332
9204616438,27539790,1,9022956
9204616438,27539791,1,9027967
9204616439,27539790,1,9023409
9204616442,27539791,1,9027963
9204616455,27539790,1,9023410
9204617095,27547190,1,9000222
9204617095,27547190,2,9000174
9204617099,27538596,1,9006421
9204617099,27538596,2,9006054
9204617099,27538597,1,9006778
9204617099,27538597,2,9006916
9204617099,27539790,1,9024190
9204617099,27539790,2,9023543
9204617099,27539790,3,9023588
9204617099,27539790,4,9024191
9204617099,27547190,1,9000115
9204617099,27547190,2,9000223
9204617099,27538590,1,9001993
9204617099,27538590,2,9002043
9204617099,27538592,1,9000212
9204617099,27538592,2,9000090
9204617100,27547190,1,9000149
9204617100,27547190,2,9000180
9204617100,27547190,3,9000156
9204617100,27538597,1,9006843
9204617100,27538597,2,9006880
9204617100,27538597,3,9006956
9204617100,27538596,1,9006506
9204617100,27538596,2,9006077
9204617100,27539790,1,9023599
9204617100,27539790,2,9023614
9204617100,27539790,3,9023441
9204617100,27539790,4,9023271
9204617100,27538590,1,9002020
9204617100,27538590,2,9001465
9204617104,27547190,1,9000184
9204617104,27547190,2,9000584
9204617105,27538597,1,9006895
9204617105,27538597,2,9006885
9204617105,27538596,1,9006405
9204617105,27538596,2,9006475
9600256971,27527992,1,9813451
9600256972,27527995,1,9818045
9600256973,27527995,1,9019768
9600256974,27527995,1,9814739
